Название кондиционера,Цена
Oasis OT-7N (Серия OT),15 000
NEWTEK 65S07+ (Серия S),15 000
Centek 65E07+ (Серия CT-65E),16 000
Centek CT-65A07 (Серия CT-65A),16 000
AUX ASW-H07A4/FJ-(W/S/B) (Серия FJ),16 700
Dantex RK-07ENT2 (Серия ECO-2),16 700
Lessar LS-H07KPA2/LU-H07KPA2 (Серия Cool+),17 000
Rapid RAC-09HJ/N118Y (Серия RAC),17 000
Hyundai H-AR19-07H (Серия Seoul),17 100
Halsen HM-9 (Серия HM),17 200
Dantex RK-09SPG (Серия PLASMA),17 300
Centek 65E09 (Серия CT-65E),17 500
NEWTEK 65S09 (Серия S),17 500
Centek CT-65A09 (Серия CT-65A),17 500
TCL TAC-09HRA/EW (Серия ELITE ICE),17 500
IGC RAS/RAC-09NHM (Серия Mild),17 500
Сплит-система Zerten BL-12,17 500
Carrier 42QHA007N/38QHA007N (Серия QHA_N),17 600
AUX ASW-H07A4/LK-700R1 (Серия LK),17 700
Energolux SAS07D1-A/SAU07D1-A (Серия DAVOS),17 800
Hyundai H-AR18-07H (Серия AURORA),17 900
Ballu BSD-07HN1 (Серия Lagoon),17 900
Dantex RK-09ENT2 (Серия ECO-2),17 900
General Climate GU-А09HR (Серия Astra),18 100
Ballu BSW-07HN1/OL_17Y (Серия Olympio),18 300
Royal Clima RC-TWS21HN (Серия TRIUMPH ),18 800
AUX ASW-H09A4/FJ-(W/S/B) (Серия FJ),18 900
Ballu BSAG-07HN1-17Y (Серия iGreen Pro),18 900
Energolux SAS09D1-A/SAU09D1-A (Серия DAVOS),18 900
Akvilon NL-09 (Серия NL),18 900
GREEN GRI/GRO-07 HH2 (Серия HH2),18 900
Carrier 42QHA009N/38QHA009N (Серия QHA_N),18 900
AUX ASW-H09A4/LK-700R1 (Серия LK),19 000
Centek CT-65L07+ (Серия CT-65L),19 000
Сплит-система Ballu BSA-07HN1-15Y (Серия i Green),19 000
Hisense AS-07HR4SYDTG035 (Серия NEO Premium Classic A),19 100
Сплит-система AIRWELL AW-HFD007-N11/AW-YHFD007-H11 (Серия HFD),19 200
Hyundai H-AR19-09H (Серия Seoul),19 300
Ballu BSD-09HN1 (Серия Lagoon),19 300
Lessar LS-H09KOA2/LU-H09KOA2 (Серия Rational),19 500
Royal Clima RC-TWX25HN (Серия TRIUMPH ),19 500
IGC RAS-07NHG (Серия Comfort),19 500
Ballu BSW-09HN1/OL_17Y (Серия Olympio),19 700
Royal Clima RC-VNR24HN (Серия VELA),19 700
Hyundai H-AR18-09H (Серия AURORA),19 800
Royal Clima RC-TWS25HN (Серия TRIUMPH ),19 900
TCL TAC-09HRA/ES (Серия ELITE ART),19 900
Cплит-система Lessar LS-H07KLA2A/LU-H07KLA2A (Серия Rational),19 900
Hisense AS-07HR4SYDDL03G (Серия BASIC A),20 000
Ballu BSAG-09HN1-17Y (Серия iGreen Pro),20 000
Oasis OT-12N (Серия OT),20 000
Сплит система Oasis ET-7 (Серия ET),20 000
Royal Clima RC-G25HN (Серия GLORIA),20 100
AERONIK ASI-07HS4/ASO-07HS4 (Серия SUPER),20 200
Toshiba RAS-07U2KHS/RAS-07U2AHS-EE (Серия U2KHS),20 300
Lessar LS-H12KOA2/LU-H12KOA2 (Серия Rational),20 400
Сплит-система Ballu BSA-09HN1-15Y (Серия i Green),20 500
Royal Clima RM-AM28CN-E (Серия AMICO),20 500
ELECTROLUX EACS-07HF/N3 (Серия Fusion),20 500
GREEN GRI/GRO-09 HH2 (Серия HH2),20 700
Royal Clima RC-TW30HN (Серия TRIUMPH ),20 900
Сплит-система AIRWELL AW-HFD009-N11/AW-YHFD009-H11 (Серия HFD),20 900
Hisense AS-07HR4SYDDC5 (Серия NEO Classic A),21 000
SHUFT SFT-07HN1-18Y (Серия ON/OFF),21 000
Akvilon NL-12 (Серия NL),21 000
Komanchi KAC-07H/N1_18Y (Серия ON/OFF),21 000
Centek CT-65L09 (Серия CT-65L),21 000
Alecord AL-12 (Серия AL),21 000
Alecord AL-7 (Серия AL),21 000
Сплит-система Zerten BL-7,21 000
Dantex RK-07SDM3 (Серия CORSO),21 200
Royal Clima RC-VNR29HN (Серия VELA),21 200
Leberg LS/LU-12FE2 (Серия FOREST ECO),21 300
Royal Clima RC-TWS30HN (Серия TRIUMPH ),21 300
Royal Clima RC-G30HN (Серия GLORIA),21 500
TCL TAC-07HRA/E1 (Серия ELITE ONE),21 500
Dantex RK-07SEG (Серия VEGA),21 500
Hisense AS-09HR4SYDDL3G (Серия BASIC A),21 600
Roda RS-A07E (Серия Sky),21 600
Сплит система Oasis ET-9 (Серия ET),21 600
Oasis OT-9N (Серия OT),21 700
Leberg LS/LU-07FE2 (Серия FOREST ECO),21 700
AERONIK ASI-09HS4/ASO-09HS4 (Серия SUPER),21 900
Lessar LS-H09KPA2/LU-H09KPA2 (Серия Cool+),22 000
Akvilon NL-07 (Серия NL),22 000
Alecord AL-9 (Серия AL),22 000
Royal Clima RC-PX25HN (Серия PRESTIGIO),22 000
Cплит-система Lessar LS-H09KLA2A/LU-H09KLA2A (Серия Rational),22 000
SHUFT SFTI-07HN1-18Y (Серия DC Inverter),22 000
Сплит-система Akvilon NC-7,22 100
Halsen HM-12 (Серия HM),22 200
Dantex RK-12SDM3 (Серия CORSO),22 300
Hisense AS-09HR4SYDDC (Серия NEO Classic A),22 300
Toshiba RAS-09U2KHS/RAS-09U2AHS-EE (Серия U2KHS),22 300
Сплит-система General Climate GU-K09HRIN1 (Серия КИБОРГ),22 300
Сплит-система AIRWELL HKD 009,22 300
Halsen HM-7 (Серия HM),22 500
Rapid RAC-07HJ/N118Y (Серия RAC),22 500
Dantex RK-07SPG (Серия PLASMA),22 500
Royal Clima RC-PX30HN (Серия PRESTIGIO),22 600
TCL TAC-12HRA/EW (Серия ELITE ICE),22 600
Dantex RK-09SDM3 (Серия CORSO),22 700
Сплит-система Akvilon NC-12,22 700
TCL TAC-07HRA/EW (Серия ELITE ICE),22 800
Kentatsu KSGQ21HFAN1/KSRQ21HFAN1 (Серия Quantum),22 900
Leberg LS/LU-09FE2 (Серия FOREST ECO),22 900
Roda RS-A09E (Серия Sky),22 900
FUNAI RAC-SM20HP (Серия SAMURAI),22 900
IGC RAS/RAC-07NHM (Серия Mild),22 900
IGC RAS/RAC-07WHQ (Серия NEO),22 900
Centek 65E12 (Серия CT-65E),23 000
SHUFT SFT-09HN1-18Y (Серия ON/OFF),23 000
Komanchi KAC-09H/N1_18Y (Серия ON/OFF),23 000
NEWTEK 65S12 (Серия S),23 000
Toshiba RAS-07U2KH3S-EE (Серия U2KH3S),23 000
Centek CT-65A12 (Серия CT-65A),23 000
Rapid RAC-12HJ/N118Y (Серия RAC),23 000
TCL TAC-09HRA/E1 (Серия ELITE ONE),23 000
Dantex RK-09SEG (Серия VEGA),23 000
IGC RAS-09NHG (Серия Comfort),23 000
Royal Clima RM-AM34CN-E (Серия AMICO),23 200
SHUFT SFTI-09HN1-18Y (Серия DC Inverter),23 400
Midea MSMA1A-07HRN1 (Серия Blanc),23 500
Dantex RK-12SPG (Серия PLASMA),23 600
General Climate GU-А12HR (Серия Astra),23 700
FUNAI RAC-SN20HP-D03 (Серия SENSEI),23 900
Carrier 42QHA012N/38QHA012N (Серия QHA_N),23 900
Electrolux EACS - 07 HAT/N3_20Y (Серия ATRIUM),24 000
Centek CT-65X09 (Серия CT-65 DC INVERTER),24 000
Сплит система Oasis ET-12 (Серия ET),24 000
Leberg LS/LU-07OLI (Серия OCEAN INVERTER),24 100
Dantex RK-12ENT2 (Серия ECO-2),24 100
FUNAI RAC-SM25HP (Серия SAMURAI),24 200
Hisense AS-10HR4SYDTG5 (Серия NEO Premium Classic A),24 300
Midea MSMA1A-09HRN1 (Серия Blanc),24 400
Ballu BSLI-07HN1/EE/EU (Серия Eco Edge),24 500
AERONIK ASI-07 IU/ASO-07 IU (Серия Antivirus),24 500
Electrolux EACS-07HF/N3-21Y (Серия FUSION ULTRA ),24 500
Toshiba RAS-09U2KH3S-EE (Серия U2KH3S),24 600
Hyundai H-AR19-12H (Серия Seoul),24 700
Energolux SAS12D1-A/SAU12D1-A (Серия DAVOS),24 800
Kentatsu KSGQ26HFAN1/KSRQ26HFAN1 (Серия Quantum),24 800
IGC RAS/RAC-09WHQ (Серия NEO),24 900
AUX ASW-H12A4/LK-700R1 (Серия LK),25 000
Centek CT-65G10 (Gray) (Серия CT-65G),25 000
Cплит-система Lessar LS-H12KLA2A/LU-H12KLA2A (Серия Rational),25 000
Ballu BSD-12HN1 (Серия Lagoon),25 200
TCL TAC-12HRA/ES (Серия ELITE ART),25 200
GREEN GRI/GRO-12 HH2 (Серия HH2),25 200
Ballu BSDI-07HN1 (Серия Lagoon DC Inverter),25 300
Сплит-система Ballu BSWI-07HN1-EP-15Y (Серия ECO PRO Inverter),25 300
Cплит-система General Climate GU-EAF09HRN1 (Серия Африка),25 500
Сплит-система AIRWELL AW-HFD012-N11/AW-YHFD012-H11 (Серия HFD),25 500
AUX ASW-H12A4/FJ-(W/S/B) (Серия FJ),25 600
Roda RS-A12E (Серия Sky),25 900
Ballu BSW-12HN1/OL_17Y (Серия Olympio),25 900
Сплит-система General Climate GU-K12HRIN1 (Серия КИБОРГ),26 000
SHUFT SFT-12HN1-18Y (Серия ON/OFF),26 000
Electrolux EACS - 09 HAT/N3_20Y (Серия ATRIUM),26 000
FUNAI RAC-SN25HP-D03 (Серия SENSEI),26 000
Komanchi KAC-12H/N1_18Y (Серия ON/OFF),26 000
Centek CT-65L12 (Серия CT-65L),26 000
TCL TAC-12HRA/E1 (Серия ELITE ONE),26 000
"Centek CT-65H10
 (Серия CT-65H)",26 000
Leberg LS/LU-09OLI (Серия OCEAN INVERTER),26 200
SHUFT SFTI-12HN1-18Y (Серия DC Inverter),26 200
Ballu BSAG-12HN1-17Y (Серия iGreen Pro),26 300
Hyundai H-AR18-12H (Серия AURORA),26 300
Сплит-система AIRWELL HKD 012,26 300
Lessar LS-H18KOA2/LU-H18KOA2 (Серия Rational),26 400
Ballu BSLI-09HN1/EE/EU (Серия Eco Edge),26 500
Electrolux EACS-09HF/N3-21Y (Серия FUSION ULTRA ),26 500
AERONIK ASI-12HS4/ASO-12HS4 (Серия SUPER),26 500
Dantex RK-12SEG (Серия VEGA),26 500
AERONIK ASI-09 IU/ASO-09 IU (Серия Antivirus),26 700
TCL TAC-09HRIA/E1 (Серия ONE INVERTER),26 700
Сплит-система Zerten BL-18,26 800
Leberg LS/LU-12OLI (Серия OCEAN INVERTER),26 900
Сплит-система Ballu BSWI-09HN1-EP-15Y (Серия ECO PRO Inverter),26 900
Gree GWH07AAA-K3NNA2A (Серия Bora),26 900
Centek CT-65Q09 (Серия CT-65Q-WiFi),26 900
IGC RAS/RAC-V09NX,26 900
Royal Clima RM-FR40CN-E (Серия FRESCO),27 000
AUX ASW-H07A4/LK-700R1DI (Серия LK Smart Inverter ),27 000
Lessar LS-H12KPA2/LU-H12KPA2 (Серия Cool+),27 000
Ballu BSDI-09HN1 (Серия Lagoon DC Inverter),27 000
Centek CT-65X12 (Серия CT-65 DC INVERTER),27 000
Сплит система AERONIK ASI-07IL3/ASO-07IL1 (Серия LEGEND),27 100
Royal Clima RC-VNR39HN (Серия VELA),27 100
Сплит-система Ballu BSA-12HN1-15Y (Серия i Green),27 400
Centek CT-5818 (Серия CT-58),27 800
Toshiba RAS-12U2KHS/RAS-12U2AHS-EE (Серия U2KHS),27 800
Dantex RK-09SKGI (Серия KAZE INVERTER (КАДЗЭ)),27 900
Royal Clima RC-TWS39HN (Серия TRIUMPH ),27 900
IGC RAS-12NHG (Серия Comfort),27 900
AUX ASW-H09A4/LK-700R1DI (Серия LK Smart Inverter ),28 000
Сплит-система General Climate GU-EK09HRIN1 (Серия КИБОРГ),28 100
Hisense AS-07HR4SYDDEB5 (Серия BLACK STAR ),28 200
Сплит-система Electrolux EACS - 07HG-M2/B2/N3 (Серия AIR GATE 2),28 200
GREEN GRI/GRO-07-IG2 (Серия IG2),28 300
Royal Clima RCI-T26HN (Серия TRIUMPH Inverter),28 300
Сплит-система AIRWELL AW-HDD007-N11/AW-YHDD007-H11 (Серия HDD),28 400
Royal Clima RC-G39HN (Серия GLORIA),28 400
Hisense AS-12HR4SVDDL2G (Серия BASIC A),28 500
Сплит система AERONIK ASI-09IL3/ASO-09IL1 (Серия LEGEND),28 600
TCL TAC-12HRIA/E1 (Серия ONE INVERTER),28 900
Lessar Winter Master LS-H07KKA2A/LU-H07KKA2A (Серия WM Cool+),29 000
Cплит-система General Climate GU-EAF12HRN1 (Серия Африка),29 100
AERONIK ASI-12 IU/ASO-12 IU (Серия Antivirus),29 100
Hyundai H-ARI20-09H/I (Серия SEOUL DC inv),29 300
Hisense AS-12HR4SVDDC15G (Серия NEO Classic A),29 600
Haier HSU-07HNF203/R2/W/G (Серия LIGHTERA),29 600
Haier HSU-07HNF103/R2 (Серия LIGHTERA),29 600
Сплит система AERONIK ASI-09IL2/ASO-09IL1 (Серия LEGEND IL2),29 600
Gree GWH09AAA-K3NNA2A (Серия Bora),29 700
Toshiba RAS-12U2KH3S-EE (Серия U2KH3S),29 900
IGC RAS/RAC-12NHM (Серия Mild),29 900
Сплит-система AIRWELL AW-HDD009-N11/AW-YHDD009-H11 (Серия HDD),29 900
Lessar Winter Master LS-H09KKA2A/LU-H09KKA2A (Серия WM Cool+),30 000
Dantex RK-2M18SEGE (Серия VEGA MULTI),30 000
Lessar LS-HE09KLA2A / LU-HE09KLA2A (Серия Inverto),30 000
Royal Clima RC-P40HN (Серия PRESTIGIO),30 100
Royal Clima RCI-T30HN (Серия TRIUMPH Inverter),30 100
Hisense AS-09HR4SYDDEB35 (Серия BLACK STAR ),30 200
TCL TAC-09HRIA/VE (Серия MIRACLE),30 300
Hitachi RAS-08 PH1/RAS-08 PH1 (Серия Inverter),30 300
Hisense AS-07UR4SYDDB15 (Серия SMART DC Inverter),30 500
Royal Clima RM-FR46CN-E (Серия FRESCO),30 500
Ballu BSDI-12HN1 (Серия Lagoon DC Inverter),30 500
Cплит-система Ballu BSAI-09HN1-15Y (Серия iGreen DC Inverter),30 600
Midea MS11D-09HRDN1 (Серия Neola),30 700
Centek CT-65Q12 (Серия CT-65Q-WiFi),30 900
IGC RAS/RAC-12WHQ (Серия NEO),30 900
Сплит-система Ballu BSWI-12HN1-EP-15Y (Серия ECO PRO Inverter),30 900
GREEN GRI/GRO-09-IG2 (Серия IG2),31 000
Gree GWH07ACA-K3NNA1A (Серия LYRA Gold),31 200
Сплит-система HITACHI RAS-08 EH4,31 200
Сплит-система Electrolux EACS - 09HG-M2/B2/N3 (Серия AIR GATE 2),31 500
Сплит-система General Climate GU-EAR09HRIN1 (Серия АРТИСТО),31 500
Leberg LS/LU-18FE2 (Серия FOREST ECO),31 600
Haier HSU-09HNF203/R2/W/G (Серия LIGHTERA),31 800
Haier HSU-09HNF103/R2 (Серия LIGHTERA),31 800
Kentatsu KSGB26HZAN1 (Серия Bravo),31 800
Сплит система AERONIK ASI-12IL3/ASO-12IL1 (Серия LEGEND),31 800
Dantex RK-12SKGI (Серия KAZE INVERTER (КАДЗЭ)),31 900
Hisense AS-13HR4SVDTG5 (Серия NEO Premium Classic A),32 000
Kentatsu KSGQ35HFAN1/KSRQ35HFAN1 (Серия Quantum),32 000
Dantex RK-2M24SEGE (Серия VEGA MULTI),32 100
AUX ASW-H12A4/LK-700R1DI (Серия LK Smart Inverter ),32 200
Midea MSMA1A-12HRN1 (Серия Blanc),32 300
Hisense AS-10UR4SYDTDI7 (Серия EXPERT EU DC Inverter),32 300
Hitachi RAS-10 PH1/RAS-10 PH1 (Серия Inverter),32 400
Сплит-система AIRWELL AW-HDD012-N11/AW-YHDD012-H11 (Серия HDD),32 500
Hisense AS-09UR4SYDDB15 (Серия SMART DC Inverter),32 600
FUNAI RAC-SM35HP (Серия SAMURAI),32 700
Сплит-система HITACHI RAK-18PEC (Серия ECO COMFORT),32 900
IGC RAS/RAC-V12NX,32 900
AUX AWB-H09BC/PN/R1DI (Серия Kids Inverter),33 000
Centek CT-65G13 (Gray) (Серия CT-65G),33 000
Winter Master Lessar LS-H07KLA2A (Серия WM Rational),33 300
Electrolux EACS - 12 HAT/N3_20Y (Серия ATRIUM),33 400
Alecord AL-24 (Серия AL),33 500
TCL TAC-12HRIA/VE (Серия MIRACLE),33 800
AUX ASW-H09A4/LV-700R1DI (Серия LV Disign Inverter),33 900
Midea MS11D-12HRDN1 (Серия Neola),33 900
Centek CT-65U10 (Серия CT-65U),34 000
General Climate GU-А18HR (Серия Astra),34 000
Сплит-система Ballu BSEI-10HN1 (Серия Platinum DC Inverter),34 000
Centek CT-65H13 (Серия CT-65H),34 000
Lessar LS-HE12KLA2A / LU-HE12KLA2A (Серия Inverto),34 000
FUNAI RAC-SN35HP-D03 (Серия SENSEI),34 100
Royal Clima RCI-T38HN (Серия TRIUMPH Inverter),34 100
Carrier 42UQV025M/38UYV025M (Серия X-Power Gold Inverter),34 100
Gree GWH09ACA-K3NNA1A (Серия LYRA Gold),34 200
Hyundai H-ARI20-12H/I (Серия SEOUL DC inv),34 300
Halsen HM-18 (Серия HM),34 500
Electrolux EACS-12HF/N3-21Y (Серия FUSION ULTRA ),34 500
Сплит система AERONIK ASI-12IL2/ASO-12IL1 (Серия LEGEND IL2),34 500
Cплит-система Ballu BSAI-12HN1-15Y (Серия iGreen DC Inverter),34 600
Centek CT-65Z10 (Серия CT-65Z),35 000
Lessar Winter Master LS-H12KKA2A/LU-H12KKA2A (Серия WM Cool+),35 000
NEWTEK 65S18 (Серия S),35 000
Alecord AL-18 (Серия AL),35 000
TCL TAC-18HRA/E1 (Серия ELITE ONE),35 000
Сплит-система Zerten BL-24,35 000
Winter Master Lessar LS-H09KLA2A (Серия WM Rational),35 100
Centek CT-5824 (Серия CT-58),35 400
TCL TAC-18HRA/EW (Серия ELITE ICE),35 800
Kentatsu KSGB35HZAN1 (Серия Bravo),35 900
TCL TAC-09HRIA/MC (Серия T-Music),35 900
Centek 65E18 (Серия CT-65E),36 000
Centek CT-65A18 (Серия CT-65A),36 000
GREEN GRI/GRO-12-IG2 (Серия IG2),36 000
Mitsubishi Heavy SRK20ZSPR-S (Серия DC STANDART),36 000
Cплит-система Lessar LS-H18KLA2A/LU-H18KLA2A (Серия Rational),36 000
Royal Clima RCI-P31HN (Серия PRESTIGIO EU Inverter),36 100
TOSHIBA RAS-05BKV/RAS-05BAV-EE (Серия BKV-EE),36 700
Komanchi KAC-18H/N1_18Y (Серия ON/OFF),36 800
Ballu BSAGI-09HN1-17Y (Серия iGreen PRO ERP DC Inverter),36 800
Dantex RK-18SDM3 (Серия CORSO),36 800
Dantex RK-18SEG (Серия VEGA),36 800
AUX ASW-H12A4/LV-700R1DI (Серия LV Disign Inverter),36 900
Hisense AS-13UR4SYDTDI7 (Серия EXPERT EU DC Inverter),36 900
Haier HSU-12HNF203/R2/W/G (Серия LIGHTERA),37 000
Haier HSU-12HNF103/R2 (Серия LIGHTERA),37 000
SHUFT SFT-18HN1-18Y (Серия ON/OFF),37 000
FUNAI RACI-SM25HP-D03 (Серия SAMURAI DC-Inverter),37 000
Сплит-система HITACHI RAK-25PEC (Серия ECO COMFORT),37 000
Сплит система Fujitsu ASYG07LLCD/AOYG07LLCD (Серия CLASSIC EURO),37 000
Gree GWH12AAB-K3NNA2A (Серия Bora),37 200
GREEN GRI/GRO-18 HH2 (Серия HH2),37 200
Carrier 42QHA018N/38QHA018N (Серия QHA_N),37 400
Сплит-система AIRWELL AW-HFD018-N11/AW-YHFD018-H11 (Серия HFD),37 500
Сплит-система HITACHI RAS-10MH1 (Серия PREMIUM),37 500
Hisense AS-07UR4SYDDEIB15 (Серия BLACK STAR DC INVERTER),37 600
Hyundai H-AR19-18H (Серия Seoul),37 700
AUX ASW-H18A4/FJ-(W/S/B) (Серия FJ),37 800
Сплит-система Electrolux EACS - 12HG-M2/B2/N3 (Серия AIR GATE 2),37 900
Hisense AS-11UR4SYDDB15 (Серия SMART DC Inverter),37 900
Сплит-система Ballu BSEI-13HN1 (Серия Platinum DC Inverter),38 000
Roda RS-A18E (Серия Sky),38 000
TCL TAC-09HRIA/FW/FG (Серия F6),38 000
Dantex RK-18SPG (Серия PLASMA),38 200
Hisense AS-12HR4SYDDEB15 (Серия BLACK STAR ),38 200
Сплит-система Ballu BSA-18HN1-15Y (Серия i Green),38 500
Lessar LS-H18KPA2/LU-H18KPA2 (Серия Cool+),38 500
AERONIK ASI-18HS4/ASO-18HS4 (Серия SUPER),38 500
Energolux SAS18D1-A/SAU18D1-A (Серия DAVOS),38 600
Royal Clima RCI-P41HN (Серия PRESTIGIO EU Inverter),38 600
Winter Master Lessar LS-H12KLA2A (Серия WM Rational),38 700
Centek CT-5918 (Серия CT-59 DC INVERTER),38 800
Ballu BSAGI-12HN1-17Y (Серия iGreen PRO ERP DC Inverter),38 900
Electrolux EACS/I - 07HF/N8-21Y (Серия FUSION ULTRA DC),38 900
Centek CT-65U13 (Серия CT-65U),39 000
Oasis OT-18N (Серия OT),39 000
TOSHIBA RAS-07BKV/RAS-07BAV-EE (Серия BKV-EE),39 000
Сплит система Oasis ET-18 (Серия ET),39 000
Сплит система Fujitsu ASYG09LLCD/AOYG09LLCD (Серия CLASSIC EURO),39 000
Toshiba RAS-10N3KV-E (Серия N3KV-E),39 200
Dantex RK-18ENT2 (Серия ECO-2),39 200
Сплит-система HITACHI RAS-14MH1 (Серия PREMIUM),39 300
TCL TAC-12HRIA/MC (Серия T-Music),39 500
Hyundai H-AR18-18H (Серия AURORA),39 600
Hisense AS-13UR4SVDDB5 (Серия SMART DC Inverter),39 700
Сплит-система Ballu BSPI-10HN1/BL/EU (Серия Platinum Black Edition),39 900
Сплит система Electrolux EACS/I-07HM/ N3_15Y (Серия MONACO Super DC Inverter),39 900
Akvilon NL-18 (Серия NL),39 900
NEWTEK 65S24 (Серия S),39 900
AUX ASW-H09A4/LA-800R1DI (Серия LA Exclusive Inverter),39 900
IGC RAS-18NHG (Серия Comfort),39 900
AUX ASW-H09A4/LV-800R1DI (Серия LV Disign Inverter),40 000
Centek CT-65Z13 (Серия CT-65Z),40 000
Hisense AS-09UR4SYDDEIB15 (Серия BLACK STAR DC INVERTER),40 000
Mitsubishi Electric-MS-GF20VA,40 200
Toshiba RAS-10U2AV-EE (Серия U2AV),40 300
Royal Clima RCI-SA30HN (Серия SPARTA FULL DC EU Inverter),40 500
Royal Clima RCI-RN30HN (Серия RENAISSANCE DC EU Inverter),40 500
AUX ASW-H18A4/LK-700R1 (Серия LK),40 500
FUNAI RACI-SM35HP-D03 (Серия SAMURAI DC-Inverter),40 700
Electrolux EACS/I - 09HF/N8-21Y (Серия FUSION ULTRA DC),40 900
Centek CT-65L18 (Серия CT-65L),41 000
Rapid RAC-18HJ/N118Y (Серия RAC),41 000
Ballu BSD-18HN1 (Серия Lagoon),41 700
Leberg LS/LU-24FE2 (Серия FOREST ECO),41 800
LG B07TS (Серия PROCOOL),41 800
Сплит система Electrolux EACS/I-09HM/ N3_15Y (Серия MONACO Super DC Inverter),41 900
TOSHIBA RAS-05TKVG-EE/RAS-05TAVG-EE (Серия SEIYA),42 000
Toshiba RAS-10N3KVR-E (Серия Daiseikai),42 000
Centek CT-65X18 (Серия CT-65 DC INVERTER),42 000
Ballu BSAG-18HN1-17Y (Серия iGreen Pro),42 100
Hisense AS-10UR4SRXQB (Серия PREMIUM FUTURE DESIGN SUPER DC INVERTER),42 300
Сплит-система General Climate GU-K18HRIN1 (Серия КИБОРГ),42 500
Hisense AS-10UR4SVETG67G (Серия Premium Design Super DC Inverter),42 500
TCL TAC-24HRA/E1 (Серия ELITE ONE),42 500
Ballu BSW-18HN1/OL_17Y (Серия Olympio),42 600
Toshiba RAS-18U2KHS/RAS-18U2AHS-EE (Серия U2KHS),42 800
Lessar LS-H24KOA2/LU-H24KOA2 (Серия Rational),42 900
AUX ASW-H12A4/LA-800R1DI (Серия LA Exclusive Inverter),42 900
LG B09TS (Серия PROCOOL),42 900
IGC RAS/RAC-18WHQ (Серия NEO),42 900
AUX ASW-H12A4/LV-800R1DI (Серия LV Disign Inverter),43 000
Kentatsu KSGX26HFAN1-BL(-GL) (Серия TITAN GENESIS),43 000
TOSHIBA RAS-10BKV/RAS-10BAV-EE (Серия BKV-EE),43 000
Fujitsu ASYG07KPCA/AOYG07KPCA (Серия CLARIOS),43 500
Royal Clima RCI-SA40HN (Серия SPARTA FULL DC EU Inverter),43 600
