Название кондиционера,Цена
Royal Clima RCI-RN40HN (Серия RENAISSANCE DC EU Inverter),43 600
Mitsubishi Heavy SRK25ZSP-W (Серия STANDART INVERTER),43 700
Сплит-система Ballu BSPI-13HN1/BL/EU (Серия Platinum Black Edition),43 700
Mitsubishi Heavy SRK35ZSP-W (Серия STANDART INVERTER),43 900
Royal Clima RC-VNR58HN (Серия VELA),43 900
TOSHIBA RAS-07TKVG-EE/RAS-07TAVG-EE (Серия SEIYA),44 000
Centek 65E24 (Серия CT-65E),44 000
FUNAI RACI-SN25HP-D03 (Серия SENSEI DC-Inverter),44 000
Centek CT-65A24 (Серия CT-65A),44 000
Сплит система Fujitsu ASYG12LLCD/AOYG12LLCD (Серия CLASSIC EURO),44 000
Hisense AS-11UR4SYDDEIB15 (Серия BLACK STAR DC INVERTER),44 100
Royal Clima RC-TW60HN (Серия TRIUMPH ),44 200
Leberg LS/LU-18OLI (Серия OCEAN INVERTER),44 600
Toshiba RAS-13N3KV-E (Серия N3KV-E),44 600
Royal Clima RC-G60HN (Серия GLORIA),44 700
Hisense AS-18HR4SWATG5 (Серия NEO Premium Classic A),45 000
Hisense AS-10UR4SVETG67 (Серия Premium CHAMPAGNE SUPER DC Inverter),45 000
Cплит-система General Climate GU-EAF18HRN1 (Серия Африка),45 000
Toshiba RAS-18U2KH3S-EE (Серия U2KH3S),45 000
Centek CT-65G18 (Gray) (Серия CT-65G),45 000
SHUFT SFT-24HN1-18Y (Серия ON/OFF),45 200
Komanchi KAC-24H/N1_18Y (Серия ON/OFF),45 200
Hisense AS-18HR4SMADL01G (Серия BASIC A),45 300
Hisense AS-13UR4SYDDEIB15 (Серия BLACK STAR DC INVERTER),45 400
Mitsubishi Electric-MSZ-HJ25VA,45 500
AUX ASW-H24A4/FJ-(W/S/B) (Серия FJ),45 500
Сплит-система HITACHI RAK-35PEC (Серия ECO COMFORT),45 500
Halsen HM-24 (Серия HM),45 700
Mitsubishi Electric-MS-GF25VA,45 800
Carrier 42UQV035M/38UYV035M (Серия X-Power Gold Inverter),45 900
Electrolux EACS/I - 12HF/N8-21Y (Серия FUSION ULTRA DC),45 900
Fujitsu ASYG09KPCA/AOYG09KPCA (Серия CLARIOS),45 900
Cплит-система Lessar LS-H24KLA2A/LU-H07KLA2A (Серия Rational),46 000
Midea MSMA1A-18HRN1 (Серия Blanc),46 200
Kentatsu KSGX35HFAN1-BL(-GL) (Серия TITAN GENESIS),46 300
TCL TAC-18HRIA/E1 (Серия ONE INVERTER),46 400
TCL TAC-12HRIA/FW/FG (Серия F6),46 500
Daikin FTYN20L (Серия FTYN),46 500
FUNAI RACI-SN35HP-D03 (Серия SENSEI DC-Inverter),46 900
Сплит система Electrolux EACS/I-12HM/ N3_15Y (Серия MONACO Super DC Inverter),46 900
TOSHIBA RAS-10TKVG-EE/RAS-10TAVG-EE (Серия SEIYA),47 000
Akvilon NL-24 (Серия NL),47 000
Centek CT-65H18 (Серия CT-65H),47 000
Сплит-система HITACHI RAS-10 JH5 инвертор с подмесом свежего воздуха (Серия AIR EXCHANGER),47 000
Hisense AS-18HR4SWADC15 (Серия NEO Classic A),47 100
Gree GWH07AAB-K3DNA2A (Серия Bora Inverter),47 200
Royal Clima RC-P61HN (Серия PRESTIGIO),47 300
GREEN GRI/GRO-24 HH2 (Серия HH2),47 800
Dantex RK-24ENT2 (Серия ECO-2),47 800
Toshiba RAS-13N3KVR-E (Серия Daiseikai),48 000
Roda RS-A24E (Серия Sky),48 000
Сплит система GREEN GRI/GRO-30 HH1 (Серия HH1),48 000
IGC RAS/RAC-V18NX,48 000
Daikin FTYN25L (Серия FTYN),48 000
Dantex RK-24SDM3 (Серия CORSO),48 200
Lessar Winter Master LS-H18KKA2A/LU-H18KKA2A (Серия WM Cool+),48 300
Carrier 42QHA024N/38QHA024N (Серия QHA_N),48 500
Dantex RK-24SEG (Серия VEGA),48 500
Hisense AS-13UR4SVETG67 (Серия Premium CHAMPAGNE SUPER DC Inverter),48 600
AUX ASW-H24A4/LK-700R1 (Серия LK),48 700
Сплит система AERONIK ASI-18IL3/ASO-18IL1 (Серия LEGEND),48 700
Hyundai H-AR19-24H (Серия Seoul),48 800
Сплит-система Ballu BSA-24HN1-15Y (Серия i Green),48 900
Hisense AS-13UR4SRXQB (Серия PREMIUM FUTURE DESIGN SUPER DC INVERTER),48 900
Сплит-система AIRWELL AW-HFD024-N11/AW-YHFD024-H11 (Серия HFD),48 900
Oasis OT-24N (Серия OT),49 000
Centek CT-5228 (Серия CT-52),49 000
Ballu BSD-24HN1 (Серия Lagoon),49 200
Сплит система AERONIK ASI-18IL2/ASO-18IL1 (Серия LEGEND IL2),49 300
Gree GWH12ACB-K3NNA1A (Серия LYRA Gold),49 400
AERONIK ASI-24HS4/ASO-24HS4 (Серия SUPER),49 400
Hyundai H-AR18-24H (Серия AURORA),49 500
Hisense AS-10UW4SVETS10 (Серия LUX Design SUPER DC Inverter),49 700
Kentatsu KSGQ50HFAN1/KSRQ50HFAN1 (Серия Quantum),49 800
Centek CT-65Q18 (Серия CT-65Q-WiFi),49 900
IGC RAS-24NHG (Серия Comfort),49 900
Gree GWH09AAB-K3DNA2A (Серия Bora Inverter),49 900
Lessar LS-H24KPA2/LU-H24KPA2 (Серия Cool+),50 000
Сплит-система Ballu BSWI-18HN1-EP-15Y (Серия ECO PRO Inverter),50 200
Dantex RK-24SPG (Серия PLASMA),50 300
Ballu BSW-24HN1/OL_17Y (Серия Olympio),50 500
Daikin FTYN35L (Серия FTYN),50 500
LG B12TS (Серия PROCOOL),50 600
Energolux SAS24D1-A/SAU24D1-A (Серия DAVOS),50 800
Сплит-система AIRWELL AW-HDD018-N11/AW-YHDD018-H11 (Серия HDD),50 800
Akvilon NL-28 (Серия NL),51 000
Centek CT-65L24 (Серия CT-65L),51 000
Mitsubishi Heavy SRK25ZSPR-S (Серия DC STANDART),51 000
IGC RAS/RAC-V18NHS,51 400
FUNAI RAC-SM55HP (Серия SAMURAI),51 500
Haier AS09NS4ERA/W/G/B (Серия LIGHTERA DC),51 500
Daikin FTXB20C (Серия FTXB),51 500
Сплит-система HITACHI RAS-14 SH2 (Серия ECO SENSER),51 900
AUX ASW-H18A4/LK-700R1DI (Серия LK Smart Inverter ),51 900
Fujitsu ASYG12KPCA/AOYG12KPCA (Серия CLARIOS),51 900
Ballu BSAG-24HN1-17Y (Серия iGreen Pro),52 100
Winter Master Lessar LS-H18KLA2A (Серия WM Rational),52 100
Hisense AS-13UW4SVETS10 (Серия LUX Design SUPER DC Inverter),52 300
Daikin FTXB25C (Серия FTXB),52 500
TCL TAC-18HRIA/VE (Серия MIRACLE),52 600
AERONIK ASI-18 IU/ASO-18 IU (Серия Antivirus),52 600
Haier AS25S2SD1FA/1U25S2PJ1FA (Серия PREMIUM SDC),53 000
Ballu BSDI-18HN1 (Серия Lagoon DC Inverter),53 000
FUNAI RAC-SN55HP-D03 (Серия SENSEI),53 100
Lessar LS-HE18KLA2A / LU-HE18KLA2A (Серия Inverto),53 400
Cплит-система Ballu BSAI-18HN1-15Y (Серия iGreen DC Inverter),53 900
IGC RAS/RAC-24WHQ (Серия NEO),53 900
Daikin FTXF20B (Серия FTXF),54 000
Electrolux EACS/I - 11 HEV/N3 (Серия EVOLUTION SUPER DC),54 100
Electrolux EACS-18HF/N3-21Y (Серия FUSION ULTRA ),54 500
TCL TAC-28HRA/E1 (Серия ELITE ONE),54 600
Haier HSU-18HNF103/R2/G (Серия LIGHTERA),54 700
Haier HSU-18HNF03/R2/G (Серия LIGHTERA),54 700
Centek CT-65X24 (Серия CT-65 DC INVERTER),54 800
Royal Clima RC-TW75HN (Серия TRIUMPH ),54 900
Leberg LS/LU-24OLI (Серия OCEAN INVERTER),55 000
TOSHIBA RAS-13TKVG-EE/RAS-13TAVG-EE (Серия SEIYA),55 000
Centek CT-65G24 (Gray) (Серия CT-65G),55 000
Centek CT-65A30 (Серия CT-65A),55 000
Royal Clima RC-VNR76HN (Серия VELA),55 100
Royal Clima RC-G76HN (Серия GLORIA),55 200
Сплит система Fujitsu ASYG07LMCE/AOYG07LMCE (Серия AIRFLOW),55 400
Hisense AS-24HR4SBADL00G (Серия BASIC A),55 700
Toshiba RAS-24U2KHS/RAS-24U2AHS-EE (Серия U2KHS),55 800
Hyundai H-ARI20-18H/I (Серия SEOUL DC inv),55 900
Centek CT-65Z18 (Серия CT-65Z),56 000
Daikin FTXF25B (Серия FTXF),56 000
GREEN GRI/GRO-18-IG2 (Серия IG2),56 000
Gree GWH12AAB-K3DNA2A (Серия Bora Inverter),56 000
Ballu BSAGI-18HN1-17Y (Серия iGreen PRO ERP DC Inverter),56 800
TOSHIBA RAS-13BKV/RAS-13BAV-EE (Серия BKV-EE),57 300
Gree GWH18AAC-K3NNA2A (Серия Bora),57 300
Dantex RK-18SKGI (Серия KAZE INVERTER (КАДЗЭ)),57 400
Daikin FTXB35C (Серия FTXB),57 500
Centek CT-65U18 (Серия CT-65U),58 000
Oasis OT-28N (Серия OT),58 000
Gree GWH09QB-K3DNC2G (Серия LOMO DC),58 000
Daikin FTXF35A (Серия FTXF),58 000
Hisense AS-24HR4SFADC5 (Серия NEO Classic A),58 100
Royal Clima RC-P77HN (Серия PRESTIGIO),58 600
TCL TAC-24HRIA/E1 (Серия ONE INVERTER),58 700
Toshiba RAS-24U2KH3S-EE (Серия U2KH3S),59 000
Mitsubishi Heavy SRK35ZSPR-S (Серия DC STANDART),59 000
Cплит-система General Climate GU-EAF24HRN1 (Серия Африка),59 100
Сплит система Fujitsu ASYG09LMCE-R/AOYG09LMCE-R (Серия AIRFLOW),59 100
Haier AS12NS4ERA/W/G/B (Серия LIGHTERA DC),59 200
Mitsubishi Electric-MSZ-HJ35VA,59 500
Сплит система AERONIK ASI-24IL3/ASO-24IL1 (Серия LEGEND),59 600
Сплит-система Ballu BSEI-18HN1 (Серия Platinum DC Inverter),59 700
Hisense AS-18UR4SFATDI67 (Серия EXPERT EU DC Inverter),59 700
Electrolux EACS/I - 14 HEV/N3 (Серия EVOLUTION SUPER DC),59 900
IGC RAS-30NHG (Серия Comfort),59 900
Royal Clima RCI-T60HN (Серия TRIUMPH Inverter),60 000
Ballu BSW-30HN1/OL_17Y (Серия Olympio),60 000
IGC RAS/RAC-V24NX,60 000
Kentatsu KSGX53HFAN1-BL(-GL) (Серия TITAN GENESIS),60 400
Kentatsu KSGQ61HFAN1/KSRQ61HFAN1 (Серия Quantum),60 400
Сплит-система Electrolux EACS - 18HG-M2/B2/N3 (Серия AIR GATE 2),60 700
Сплит-система AIRWELL AW-HDD024-N11/AW-YHDD024-H11 (Серия HDD),60 800
Hisense AS-24HR4SFBTG5 (Серия NEO Premium Classic A),61 000
Centek CT-65H24 (Серия CT-65H),61 000
FUNAI RAC-SM70HP (Серия SAMURAI),61 300
Midea MSMA1A-24HRN1 (Серия Blanc),61 400
AUX ASW-H30A4/LK-700R1 (Серия LK),61 700
Energolux SAS30D1-A/SAU30D1-A (Серия DAVOS),62 000
Midea MSEAAU-09HRFN1 (Серия Kids Star),62 300
AUX ASW-H24A4/LK-700R1DI (Серия LK Smart Inverter ),62 300
Toshiba RAS-16N3KVR-E (Серия Daiseikai),62 500
Funai RACI-EM25HP (Серия EMPEROR DC-Inverter),62 500
Lessar Winter Master LS-H24KKA2A/LU-H24KKA2A (Серия WM Cool+),62 600
Lessar LS-HE24KLA2A / LU-HE24KLA2A (Серия Inverto),62 600
Centek CT-65Q24 (Серия CT-65Q-WiFi),62 900
Kentatsu KSGB53HZAN1 (Серия Bravo),63 000
Dantex RK-24SKGI (Серия KAZE INVERTER (КАДЗЭ)),63 200
TOSHIBA RAS-16BKV/RAS-16BAV-EE (Серия BKV-EE),63 300
Royal Clima RCI-P61HN (Серия PRESTIGIO EU Inverter),63 400
IGC RAS/RAC-V24NHS,63 600
AERONIK ASI-24 IU/ASO-24 IU (Серия Antivirus),63 900
Midea MSEAAU-129HRFN1 (Серия Kids Star),64 000
Mitsubishi Electric-MS-GF35VA,64 300
Hyundai H-AR19-30H (Серия Seoul),64 400
Hisense AS-18UR4SUADB5 (Серия SMART DC Inverter),64 400
Gree GWH18ACC-K3NNA1A (Серия LYRA Gold),64 500
FUNAI RAC-SN70HP-D03 (Серия SENSEI),64 700
TOSHIBA RAS-16TKVG-EE/RAS-16TAVG-EE (Серия SEIYA),65 000
Gree GWH12QC-K3DNC2G (Серия LOMO DC),65 000
Centek CT-65L30 (Серия CT-65L),65 000
Winter Master Lessar LS-H24KLA2A (Серия WM Rational),65 300
Ballu BSDI-24HN1 (Серия Lagoon DC Inverter),65 500
Mitsubishi Heavy SRK45ZSP-W (Серия STANDART INVERTER),65 600
Haier AS35S2SD1FA/1U35S2PJ1FA (Серия PREMIUM SDC),65 800
Electrolux EACS/I - 18HF/N8-21Y (Серия FUSION ULTRA DC),66 000
Electrolux EACS-24HF/N3-21Y (Серия FUSION ULTRA ),66 400
Carrier 42UQV050M/38UYV050M (Серия X-Power Gold Inverter),66 800
Funai RACI-EM35HP (Серия EMPEROR DC-Inverter),67 400
Сплит-система Ballu BSWI-24HN1-EP-15Y (Серия ECO PRO Inverter),68 400
Lessar LS-H28KPA2/LU-H28KPA2 (Серия Cool+),68 500
Toshiba RAS-18N3KV-E (Серия N3KV-E),68 500
GREEN GRI/GRO-24-IG2 (Серия IG2),69 000
Сплит система Fujitsu ASYG12LMCE/AOYG12LMCE (Серия AIRFLOW),69 300
Ballu BSAGI-24HN1-17Y (Серия iGreen PRO ERP DC Inverter),69 500
FUNAI RACI-SN50HP-D03 (Серия SENSEI DC-Inverter),69 500
Mitsubishi Heavy SRK20ZS-S (Серия DC PREMIUM),69 800
Кондиционер LG A09AW1FR4 (Серия ARTCOOL Gallery Inverter),69 900
IGC RAS-36NHG (Серия Comfort),69 900
IGC RAS/RAC-30NHQ/W,69 900
Toshiba RAS-07J2KVSG-EE (Серия SHORAI EDGE),70 000
Haier HSU-24HNF103/R2/G (Серия LIGHTERA),70 000
Haier HSU-24HNF03/R2/G (Серия LIGHTERA),70 000
Centek CT-65Z24 (Серия CT-65Z),71 000
Сплит система Electrolux EACS/I-18HM/ N3_15Y (Серия MONACO Super DC Inverter),71 500
AUX ASW-H36A4/LK-700R1 (Серия LK),71 600
LG B18TS (Серия PROCOOL),72 000
Gree GWH24AAD-K3NNA2A (Серия Bora),72 100
Dantex RK-28SEG (Серия VEGA),72 300
GREEN GRI/GRO-30 HH2 (Серия HH2),72 600
TCL TAC-30HRA/WE (Серия COMMERCIAL WE),72 800
Сплит-система AIRWELL AW-HFD030-N11/AW-YHFD030-H11 (Серия HFD),72 900
Royal Clima RCI-T78HN (Серия TRIUMPH Inverter),73 000
AERONIK ASI-30HS4/ASO-30HS4 (Серия SUPER),73 800
Centek CT-65U24 (Серия CT-65U),74 000
Сплит-система Ballu BSEI-24HN1 (Серия Platinum DC Inverter),74 300
Cплит-система Ballu BSAI-24HN1-15Y (Серия iGreen DC Inverter),74 400
Royal Clima RC-V36HN (Серия VENTO),74 800
Кондиционер LG A12AW1FR4 (Серия ARTCOOL Gallery Inverter),74 900
TOSHIBA RAS-18TKVG-EE/RAS-18TAVG-EE (Серия SEIYA),75 000
Toshiba RAS-10J2KVSG-EE (Серия SHORAI EDGE),75 000
Hisense AS-24UR4SFATDI67 (Серия EXPERT EU DC Inverter),75 400
Сплит-система Electrolux EACS - 24HG-M2/B2/N3 (Серия AIR GATE 2),75 900
Mitsubishi Electric-MSZ-HJ50VA,76 000
Mitsubishi Electric- MSZ-SF25VE3,76 200
Daikin FTYN50L (Серия FTYN),76 500
Mitsubishi Electric- MSZ-EF25VE3(B/S/W),76 900
Hyundai H-AR19-36H (Серия Seoul),77 200
Hisense AS-24UR4SFBDB5 (Серия SMART DC Inverter),77 200
Mitsubishi Heavy SRK20ZS-ST(titanium)/SB(contrast) (Серия DC PREMIUM),77 500
Electrolux EACU-18H/UP3/N3 (Серия Unitary Pro 3 U Type),77 600
Royal Clima RC-VNR84HN (Серия VELA),77 700
Hisense AS-10UW4RXUQD00G (Серия VISION SUPERIOR DC Inverter),77 800
Mitsubishi Heavy SRK25ZS-S (Серия DC PREMIUM),78 000
Lessar Winter Master LS-H28KKA2A/LU-H28KKA2A (Серия WM Cool+),78 000
TCL TAC-36HRA/WE (Серия COMMERCIAL WE),78 300
Kentatsu KSGX70HFAN1-BL(-GL) (Серия TITAN GENESIS),79 400
Haier AS09CB3HRA/1U09JE8ERA (Серия CRISTAL DC),79 900
Dantex RK-36SDM3N (Серия CORSO),79 900
Royal Clima RCI-P81HN (Серия PRESTIGIO EU Inverter),80 000
Hisense AS-13UW4RXUQD00G (Серия VISION SUPERIOR DC Inverter),80 500
Daikin FTYN60L (Серия FTYN),82 500
Gree GWH24ACD-K3NNA1A (Серия LYRA Gold),82 700
Toshiba RAS-22N3KV-E (Серия N3KV-E),83 200
Kentatsu KSGQ80HFAN1/KSRQ80HFAN1 (Серия Quantum),84 100
Mitsubishi Heavy SRK25ZS-ST(titanium)/SB(contrast) (Серия DC PREMIUM),84 400
Gree GWH18AAD-K3DNA2E (Серия Bora Inverter),84 500
Сплит-система Fujitsu ASYG07LUCA/AOYG07LUC (Серия SLIDE),84 900
FUNAI RACI-SN65HP-D03 (Серия SENSEI DC-Inverter),85 000
Centek CT-65L36 (Серия CT-65L),85 000
Mitsubishi Heavy SRK45ZSPR-S (Серия DC STANDART),85 000
Kentatsu KSGB70HZAN1 (Серия Bravo),85 500
Mitsubishi Electric- MSZ-FH25VE(2),86 200
GREEN GRI/GRO-36 HH2 (Серия HH2),86 200
Сплит-система AIRWELL AW-HFD030-N11/AW-YHFD036-H11 (Серия HFD),86 400
Electrolux EACS/I - 24HF/N8-21Y (Серия FUSION ULTRA DC),87 400
AERONIK ASI-36HS4/ASO-36HS4 (Серия SUPER),87 400
Haier AS18NS4ERA/W/G/B (Серия LIGHTERA DC),87 600
LG B24TS (Серия PROCOOL),88 000
Carrier 42UQV060M/38UYV060M (Серия X-Power Gold Inverter),89 000
Haier AS12CB3HRA/1U12JE8ERA (Серия CRISTAL DC),89 900
Сплит-система Fujitsu ASYG09LUCA/AOYG09LUC (Серия SLIDE),89 900
Сплит система Fujitsu ASYG14LMCE/AOYG14LMCE (Серия AIRFLOW),89 900
TOSHIBA RAS-10N4VRG-EE (Серия Haori),90 000
Toshiba RAS-10N4KVRG-EE/RAS-10N4AVRG-EE (Серия Haori),90 000
Daikin FTXS20K (Серия FTXS),90 000
Daikin FTXB50C (Серия FTXB),90 500
TOSHIBA RAS-24TKVG-EE/RAS-24TAVG-EE (Серия SEIYA),91 000
Mitsubishi Heavy SRK35ZS-S (Серия DC PREMIUM),91 300
Royal Clima RC-G36HN/IN (Серия GLORIA),91 900
Fujitsu ASYG18KPCA/AOYG18KPCA (Серия CLARIOS),92 000
Сплит система Electrolux EACS/I-24HM/ N3_15Y (Серия MONACO Super DC Inverter),92 700
Toshiba RAS-13J2KVSG-EE (Серия SHORAI EDGE),93 000
Lessar LS-H36KPA2/LU-H36KPA2 (Серия Cool+),93 000
Daikin FTXB60C (Серия FTXB),94 000
Mitsubishi Electric- MSZ-EF35VE3(B/S/W),94 900
Daikin FTXS25K (Серия FTXS),95 000
Mitsubishi Electric-MSZ-SF35VE3,95 800
Daikin FTXM20M / RXM20M (Серия FTXM),96 500
Daikin FTXF50A (Серия FTXF),97 000
Electrolux EACU-24H/UP3/N3 (Серия Unitary Pro 3 U Type),97 400
Hisense AS-36HR4SDKVT (Серия STRONG NEO PREMIUM CLASSIC A),97 500
Ballu BSQ-36H N1 (Серия BRAVO),99 000
Daikin FTXM25M / RXM25M (Серия FTXM),99 000
Сплит-система Fujitsu ASYG09LMCB/ AOYG09LMCBN (Серия AIRFLOW NORDIC),99 000
Kentatsu KSGQ95HFAN1/KSRQ95HFAN1 (Серия Quantum),99 100
Mitsubishi Heavy SRK20ZSX-S (Серия DC DELUXE),99 800
Mitsubishi Heavy SRK35ZS-ST(titanium)/SB(contrast) (Серия DC PREMIUM),100 000
Gree GWH18QG-K3DNC2G (Серия LOMO DC),100 700
Daikin FTXF60A (Серия FTXF),101 000
Mitsubishi Electric-MSZ-FH35VE(2 ),103 400
Сплит-система Fujitsu ASYG12LUCA/AOYG12LUC (Серия SLIDE),104 000
Toshiba RAS-16J2KVSG-EE (Серия SHORAI EDGE),105 000
Сплит система Electrolux EACS - 36HT/N3 (Серия NORDIC),105 000
Gree GWH28AAE-K3NNA2A (Серия Bora),107 000
Сплит-система Fujitsu ASYG12LMCB/ AOYG12LMCBN (Серия AIRFLOW NORDIC),107 000
Mitsubishi Heavy SRK25ZSX-S (Серия DC DELUXE),108 000
Haier AS24NS4ERA/W/G/B (Серия LIGHTERA DC),108 300
Mitsubishi Heavy SRK63ZSPR-S (Серия DC STANDART),109 000
TOSHIBA RAS-13N4VRG-EE (Серия Haori),110 000
Toshiba RAS-13N4KVRG-EE/RAS-13N4AVRG-EE (Серия Haori),110 000
Daikin FTXJ20MS (Серия FTXG),110 000
Gree GWH24AAD-K3DNA2A (Серия Bora Inverter),111 700
Сплит система Fujitsu ASYG18LFCA/AOYG18LFC (Серия STANDARD),112 000
Mitsubishi Electric-MSZ-SF42VE3,113 200
Сплит-система Fujitsu ASYG09LTCB/AOYG09LTCN (Серия DELUXE SLIDE NORDIC),113 700
Mitsubishi Electric- MSZ-EF42VE3(B/S/W),113 900
Fujitsu ASYG24KPCA/AOYG24KPCA (Серия CLARIOS),114 000
Daikin FTXM35M / RXM35M (Серия FTXM),115 000
Daikin FTXS35K (Серия FTXS),115 000
Daikin FTXJ25MS (Серия FTXG),119 000
Сплит-система Fujitsu ASYG14LUCA/AOYG14LUC (Серия SLIDE),119 000
Toshiba RAS-18J2KVSG-EE (Серия SHORAI EDGE),120 000
Daikin FTXF71A (Серия FTXF),120 000
Mitsubishi Heavy SRK35ZSX-S (Серия DC DELUXE),120 500
Kentatsu KSGN105HFAN3 (Серия NAOMI),123 100
Mitsubishi Heavy SRK71ZSPR-S (Серия DC STANDART),123 200
Сплит-система Fujitsu ASYG14LMCB/ AOYG14LMCBN (Серия AIRFLOW NORDIC),124 800
Mitsubishi Heavy SRK50ZS-S (Серия DC PREMIUM),126 200
TOSHIBA RAS-16N4VRG-EE (Серия Haori),130 000
Toshiba RAS-16N4KVRG-EE/RAS-16N4AVRG-EE (Серия Haori),130 000
Gree GWH24QD-K3DNC2G (Серия LOMO DC),130 200
Сплит система Fujitsu ASYG24LFCA/AOYG24LFC (Серия STANDARD),132 000
Mitsubishi Heavy SRK50ZS-ST(titanium)/SB(contrast) (Серия DC PREMIUM),133 800
Toshiba RAS-22J2KVSG-EE (Серия SHORAI EDGE),135 000
Mitsubishi Electric- MSZ-EF50VE3(B/S/W),135 900
Mitsubishi Electric-MSZ-SF50VE3,136 000
Electrolux EACU-36H/UP3/N3 (Серия Unitary Pro 3 U Type),136 500
Gree GWH09UB-K3DNA4F (Серия U-Crown DC Inverter),137 100
Daikin FTXJ35MS (Серия FTXG),138 000
Сплит-система Fujitsu ASYG12LTCB/AOYG12LTCN (Серия DELUXE SLIDE NORDIC),139 000
Daikin FTXS42K (Серия FTXS),139 000
Mitsubishi Heavy SRK50ZSX-S (Серия DC DELUXE),142 700
Mitsubishi Heavy SRK63ZR-W (Серия POWER INVERTER),143 500
Mitsubishi Heavy SRK80ZSPR-S (Серия DC STANDART),144 000
Gree GWH12UB-K3DNA4F (Серия U-Crown DC Inverter),144 900
Mitsubishi Electric-MSZ-GF60VE2,145 900
Mitsubishi Electric-MSZ-FH50VE(2),147 100
Fujitsu ASYG09KXCA/AOYG09KXCA (Серия NOCRIA X),154 000
Сплит-система Fujitsu ASYG14LTCB/AOYG14LTCN (Серия DELUXE SLIDE NORDIC),157 000
Daikin FTXS50K (Серия FTXS),159 000
Electrolux EACU-48H/UP3/N3 (Серия Unitary Pro 3 U Type),160 000
Mitsubishi Heavy SRK60ZSX-S (Серия DC DELUXE),163 700
Daikin FTXM50M / RXM50M (Серия FTXM),166 000
Mitsubishi Heavy SRK71ZR-W (Серия POWER INVERTER),166 500
Gree GWH18UC-K3DNA4F (Серия U-Crown DC Inverter),169 900
Electrolux EACU-60H/UP3/N3 (Серия Unitary Pro 3 U Type),171 900
Fujitsu ASYG12KXCA/AOYG12KXCA (Серия NOCRIA X),172 000
Mitsubishi Heavy SRK80ZR-W (Серия POWER INVERTER),177 500
Сплит система Fujitsu ASYG30LFCA/AOYG30LFC (Серия STANDARD),179 000
Mitsubishi Electric-MSZ-GF71VE2,183 900
Daikin FTXM60M / RXM60M (Серия FTXM),199 000
Daikin FTXJ50MS (Серия FTXG),211 000
Mitsubishi Heavy SRK100ZR-W (Серия POWER INVERTER),211 800
Daikin FTXM71M / RXM71M (Серия FTXM),283 000
